text,name
 I mean you could,Pulak
 What’s wrong with an iPhone,Pulak
 Get op6 agar itna problem hai,Pulak
 I mean... The iPhone model range rn sucks,Ishnoor Singh
 And the new models coming out next month aren't great either,Ishnoor Singh
 Dekh lo,Pulak
 You can try convincing for an op6,Pulak
 It’ll be easier considering aunty has one,Pulak
 It's over,Ishnoor Singh
 I got em back to no Apple,Ishnoor Singh
 Nice nice,Pulak
 Good job,Pulak
 Then it should be fairly straightforward,Pulak
 Yeah,Ishnoor Singh
 So blackberry with XPS 15,Ishnoor Singh
 Haan perfect,Pulak
 That was the one you wanted,Pulak
 Hahaha,Ishnoor Singh
 Yup,Ishnoor Singh
 Way too easy tho,Ishnoor Singh
 😂😂😂,Ishnoor Singh
 Bwahahaha,Pulak
 How long did it even take you,Pulak
 Not long,Ishnoor Singh
 Lol how's college?,Ishnoor Singh
 Thought so,Pulak
 So far so good,Pulak
 Classes haven’t started yet so let’s see,Pulak
 Gosh.... You're scared,Ishnoor Singh
 Yep,Pulak
 That is accurate,Pulak
 Whyyyyyyyyyyyyy?,Ishnoor Singh
 I on the other hand can't wait,Ishnoor Singh
 Aise hi,Pulak
 It’s nervous excitement,Pulak
 Lol,Ishnoor Singh
 You don't understand fear then,Ishnoor Singh
 Lol,Pulak
 Arrey call it what you want,Pulak
 This is what it is,Pulak
 Hmmmmm 😂,Ishnoor Singh
 Starts tomorrow for you?,Ishnoor Singh
 Yep yep,Pulak
 First day tomo,Pulak
 You'll be awesome mate,Ishnoor Singh
 They selected your to be awesome here,Ishnoor Singh
 And they know their shizz they selected me too na😂,Ishnoor Singh
 Kidding aside,Ishnoor Singh
 You'll do great ... As much of a dumb shit as you are my greatness would've rubbed on to you ... That should be more than enough😂,Ishnoor Singh
 I know I am duhh,Pulak
 😂😂😂,Pulak
 You stole my line,Pulak
 😂😂😂,Pulak
 I did my work,Ishnoor Singh
 Now I am home,Ishnoor Singh
 Note I sleep,Ishnoor Singh
 What,Pulak
 *now,Ishnoor Singh
 *hint*look up India time,Ishnoor Singh
 I know you sleep,Pulak
 I can concert,Pulak
 Convert,Pulak
 12,Pulak
 But do you ever sleep before 1😂,Pulak
 It's a long story,Ishnoor Singh
 Cut across the states,Ishnoor Singh
 I have time,Pulak
" How and why??? Are you that bad at ""college-ing""",Ishnoor Singh
 😂,Ishnoor Singh
 Arrey I’m going to slee in a bit,Pulak
 Abhi to time hai,Pulak
 Hmmmmm 😂,Ishnoor Singh
 <Media omitted>,Ishnoor Singh
 It's true,Ishnoor Singh
 Did you just try it,Pulak
 Define Just,Ishnoor Singh
 In the time since I’ve been gone,Pulak
 Yeah...,Ishnoor Singh
 Not exactly,Ishnoor Singh
 I didn't my break it,Ishnoor Singh
 But I tested the theory very well,Ishnoor Singh
 What the fuck did you do,Pulak
 You tell me 😂😂😂,Ishnoor Singh
 Abbey I just Streched it to the point being which I felt like it would break,Ishnoor Singh
 🤦🏻‍♂🤦🏻‍♂🤦🏻‍♂,Pulak
 It was quite intriguing really,Ishnoor Singh
 😂,Ishnoor Singh
 I don’t even know where to start,Pulak
 I need to give your roommate and ra a heads up,Pulak
 Meh,Ishnoor Singh
 What meh,Pulak
 When you get that info I’m demanding it from you,Pulak
 <Media omitted>,Ishnoor Singh
 Did somebody just go ooooh in the background 😂,Pulak
 Yeah I guess,Ishnoor Singh
 Lol,Ishnoor Singh
 Must be awesome,Ishnoor Singh
 Lol,Pulak
 What even,Pulak
 College,Ishnoor Singh
 You nitwit,Ishnoor Singh
 Yes it is,Pulak
 Lol,Ishnoor Singh
 Tell me about it when you're done,Ishnoor Singh
 Send your schedule look,Ishnoor Singh
 *lol,Ishnoor Singh
 Lol it was fun but exhausting,Pulak
 😏,Ishnoor Singh
 Shut up,Pulak
 <Media omitted>,Pulak
 Hmmmmm,Ishnoor Singh
 Already cheating? 😂😂,Ishnoor Singh
 Yes that’s exactly what I’m doing,Pulak
 Lol,Ishnoor Singh
 Sup,Ishnoor Singh
 Lunch lol,Pulak
 Then Class,Pulak
 Then chilling,Pulak
 Lol today's day two of classes?,Ishnoor Singh
 You tell,Pulak
 Haan,Pulak
 Nothing.,Ishnoor Singh
 That's all.,Ishnoor Singh
 What that’s all,Pulak
 lol,Ishnoor Singh
 i ran 11 km in the morning,Ishnoor Singh
 Niceeee,Pulak
 I do that much inthe whole day lmao,Pulak
 Just walking tho,Pulak
 lol,Ishnoor Singh
 the whole day was 13 miles,Ishnoor Singh
 i didnt convert that into km,Ishnoor Singh
 That’s 21,Pulak
 lol,Ishnoor Singh
 Hi Pulak,Ishnoor Singh
 You look so cute in your DP,Ishnoor Singh
 ?,Pulak
 Thanks you too,Pulak
 Lol,Ishnoor Singh
 That was Nayamat,Ishnoor Singh
 😂😂😂😂,Ishnoor Singh
 Sure it was😂😂😂😂,Pulak
 K bro,Ishnoor Singh
 Think whatever you want,Ishnoor Singh
 That’s exactly what I’ve been doing bro,Pulak
 😂😂😂,Pulak
 K.... You suck,Ishnoor Singh
 I am aware of that fact,Pulak
 Last week in India about to start,Pulak
 Aw what happened?,Ishnoor Singh
 How you feeling,Pulak
 You screwed up again?,Ishnoor Singh
 Excited,Pulak
 Lol no chill,Pulak
 Ok .... Bro.. let's not go there... My life just went mad yesterday,Ishnoor Singh
 What happened,Pulak
 I CAN'T TELL ANYONE... I SWORE I WON'T...,Ishnoor Singh
" Okay okay, calm down",Pulak
 Tell me whatever you cAn,Pulak
 No pressure,Pulak
 Its awesome and is very wierd,Ishnoor Singh
 But I can't tell anyone,Ishnoor Singh
 So your life went the good kind of mad?,Pulak
 If it’s awesome,Pulak
 Hahaha.... You could say ski,Ishnoor Singh
 *so,Ishnoor Singh
 Okay then that’s great,Pulak
 I’m curious but you don’t have to tell,Pulak
 Excellent news,Pulak
 Bro...,Ishnoor Singh
 I wanna lol,Ishnoor Singh
 But... Ummmm,Ishnoor Singh
 Consider it revenge .... Only that I told you 😂😂😂😂😂😂,Ishnoor Singh
 You promised someone that you won’t?,Pulak
 😂😂 I get it,Pulak
 K brooooooooo I hope you do,Ishnoor Singh
 Such mystery,Pulak
 <Media omitted>,Ishnoor Singh
 Niceee,Pulak
 You now have a bb partner,Pulak
 Lol,Ishnoor Singh
 I'll stand on your shoulders and then we can play,Ishnoor Singh
 😂😂😂,Ishnoor Singh
 Packed my first suitcase,Ishnoor Singh
 Twice 😂,Ishnoor Singh
 Perfecto,Pulak
 Lol,Ishnoor Singh
 😂😂😂,Pulak
 Wow that was early,Pulak
 This is not sarcasm,Pulak
 Bro ma saying we late,Ishnoor Singh
 How many did you rate for yourself?,Ishnoor Singh
 *take,Ishnoor Singh
 I have two suitcases,Pulak
 One big and one small,Pulak
 Hmmmmm,Ishnoor Singh
 And two backpacks,Pulak
 One empty duffel bag,Pulak
 And a backpack,Pulak
 Ohhh thanks mate!!!,Ishnoor Singh
 Nothing interesting in college?,Ishnoor Singh
 😂,Ishnoor Singh
 Not at that moment no😂,Pulak
 Btw get ready for a shit ton of free stuff,Pulak
 What? Like?,Ishnoor Singh
 Aunty uncle back in India?,Ishnoor Singh
 Shirts and bottles and all,Pulak
 I have gotten 8 free tshirts,Pulak
 Flight is tonight,Pulak
 Oh oh... How're they?,Ishnoor Singh
 Very emotional,Pulak
 And you?,Ishnoor Singh
 I was kept really busy throughout the day,Pulak
 So it hasn’t sunk in yet,Pulak
 But before saying bye to them it kinda sunk in,Pulak
 And it sucked,Pulak
 But it’ll sink in worse tonight,Pulak
 Yeah lol.... I've been wondering the same,Ishnoor Singh
 Seems like tough bro,Ishnoor Singh
 😂😅,Ishnoor Singh
 Anyways ... How's all else?,Ishnoor Singh
 Played any sport?,Ishnoor Singh
 Professors good or Shelly Ma'am style 😂😂😂?,Ishnoor Singh
 So I’m just going to tire myself to sleep,Pulak
 😂,Ishnoor Singh
 That's what I'm missing man being tired to sleep... Too boring here 😂,Ishnoor Singh
